nom;prenom;matricule;date_de_naissance;rue;code;ville;telephone;email
Camille;Collin;29648;1978-05-26;boulevard Claire Lebon;75938;Cher;0218194892;eugene15@vaillant.com
Adrienne;Gay;67109;1964-03-12;88, boulevard Raymond Bonnet;16097;Loire;+33 4 95 51 39 33;suzannedevaux@robin.com
Timothée;Grégoire;3300;1987-10-02;boulevard Stéphane Munoz;85839;Haute-Saône;0367196593;julien32@raymond.org
Christelle;Muller;60785;1933-05-21;12, boulevard Normand;84833;Vienne;04 43 47 75 15;coulonjacqueline@aubert.net
Alfred;Foucher;87559;1958-01-18;rue de Guichard;56012;Yonne;+33 1 48 98 91 01;juliebruneau@michaud.fr
Victoire;Ferreira;33617;1926-02-11;4, rue Voisin;00869;Bouches-du-Rhône;0160314562;gaudinchantal@godard.fr
Luc;Bertin;31913;1969-12-16;39, rue de Gosselin;22584;Charente;04 79 20 76 98;manon56@brunet.com
Céline;Traore;99552;1931-12-03;9, rue Olivier Ledoux;59459;Tarn;+33 4 92 46 61 09;marthedaniel@dupuis.fr
Alexandria;Lacombe;44211;1998-06-26;7, boulevard de Humbert;27142;Moselle;04 32 90 07 54;zgirard@roche.com
Virginie;Pages;46872;1938-12-04;avenue Thomas Bernard;00891;Dordogne;+33 (0)4 63 34 42 17;ftecher@paris.com
Pierre;Lucas;5931;1992-01-19;31, rue Augustin Fournier;48559;Alpes-Maritimes;04 91 76 58 23;scoste@dos.org
Xavier;Marques;62227;1971-02-19;6, rue de Dupont;22945;Manche;+33 2 78 17 30 42;hernandezanne@ribeiro.fr
Franck;Perrin;84284;1997-06-28;65, avenue Ferreira;60452;Côte-d'Or;05 49 11 13 30;gpetit@berthelot.org
Caroline;Camus;15583;2000-10-05;26, rue Raymond Mary;63511;Yonne;+33 (0)4 11 73 17 64;lucydupont@ferrand.net
Céline;Hoareau;86592;1970-05-19;81, boulevard Lebon;87577;Tarn;+33 4 22 93 05 55;hardywilliam@marion.com
Zoé;Gillet;2138;2000-07-01;21, rue de François;20407;Loire;+33 5 46 27 58 68;baudryeric@letellier.net
Stéphane;Regnier;34345;1978-01-10;49, rue Traore;48945;Ariège;05 79 44 66 60;lucyrodriguez@renault.com
Auguste;Leduc;70983;1978-01-12;29, rue de Benard;09767;Ardèche;+33 (0)3 75 20 09 92;francois85@jacob.com
Charles;Bourdon;96447;1984-09-29;51, avenue Cousin;83067;Lot-et-Garonne;+33 3 70 51 00 74;dijouxmargot@rolland.fr
Corinne;Schneider;30836;1936-08-07;79, rue Legros;16207;Meuse;01 44 75 41 51;pelletiermarine@barre.com
Alain;Grondin;38795;1970-12-12;rue de Guillaume;31045;Vosges;+33 (0)4 58 32 27 17;mathilde42@guillaume.fr
Christelle;Klein;68125;1961-06-29;22, boulevard Blin;26223;Landes;+33 2 50 24 56 02;carlierdenis@payet.org
Emmanuelle;Delattre;41282;1940-07-10;64, rue Hebert;80660;Mayenne;0366354712;baronfrederic@boutin.com
Pauline;De Oliveira;63976;1979-12-01;67, rue de Monnier;17340;Yonne;04 67 70 34 14;audreymunoz@morin.fr
Patricia;Grondin;62956;1995-03-01;20, rue Adrien Boucher;89671;Val-d'Oise;0326439101;thibault85@laporte.com
Daniel;Legros;55293;1960-08-02;929, rue de Rossi;68644;Morbihan;0437221166;jjoly@monnier.fr
Noémi;Legros;63116;1950-10-31;68, rue Capucine Ribeiro;70930;Loiret;03 54 08 11 60;augustin19@dupuy.org
Nathalie;Dumas;49300;1940-04-22;23, avenue Michelle Rémy;25662;Moselle;+33 4 11 52 32 75;zlaunay@perrier.net
